name,cgpa
uzl,9.440000
vis,9.450000
vhu,9.450000
vgs,9.480000
vef,9.480000
vbt,9.480000
uuv,9.010000
uqf,9.010000
uxf,9.030000
uqw,9.070000
uyg,9.080000
uvg,9.090000
urq,9.100000
uvi,9.110000
uyp,9.120000
uuc,9.160000
urs,9.160000
uvl,9.220000
uqe,9.220000
url,9.240000
ury,9.260000
uxg,9.270000
uvw,9.270000
uyq,9.320000
uqj,9.340000
uxs,9.370000
uuu,9.370000
uqy,9.380000
uxb,9.390000
uuz,9.390000
uxi,9.400000
utk,9.410000
uva,9.450000
uww,9.460000
uqv,9.470000
urw,9.500000
ucp,9.010000
uoj,9.030000
uiq,9.030000
uqc,9.070000
ues,9.080000
unz,9.090000
uje,9.090000
uga,9.090000
uhi,9.100000
ueq,9.140000
umd,9.160000
uhb,9.170000
ufw,9.180000
ugj,9.210000
ulf,9.220000
ujy,9.230000
ulb,9.240000
ueg,9.240000
udf,9.260000
uok,9.270000
ukp,9.290000
ujg,9.300000
ukk,9.310000
ujr,9.320000
uin,9.340000
ufa,9.370000
ujf,9.430000
ull,9.440000
ucr,9.440000
unh,9.470000
uif,9.490000
txb,9.030000
ttf,9.030000
ucf,9.040000
txm,9.040000
twx,9.050000
tty,9.050000
tta,9.050000
txp,9.060000
tvs,9.060000
tuk,9.090000
txu,9.150000
ttu,9.170000
ubd,9.180000
tww,9.180000
ttj,9.180000
tuq,9.210000
uch,9.260000
tyw,9.280000
tvj,9.310000
ttr,9.340000
tug,9.360000
uar,9.410000
twr,9.420000
ubp,9.430000
txv,9.430000
ucj,9.450000
twn,9.450000
ube,9.470000
tux,9.490000
tyv,9.500000
tod,9.010000
tiz,9.010000
trz,9.020000
tlv,9.030000
tqa,9.090000
thr,9.090000
toj,9.100000
tkg,9.100000
tjp,9.120000
tqb,9.140000
tju,9.140000
tjr,9.150000
tom,9.180000
trb,9.230000
tkx,9.230000
tsl,9.240000
tlq,9.260000
tsh,9.280000
tjd,9.280000
tkw,9.300000
trd,9.310000
tra,9.320000
thy,9.360000
tit,9.380000
tik,9.420000
tsa,9.460000
tsu,9.470000
trl,9.470000
tlt,9.470000
tmc,9.500000
thb,9.030000
szs,9.030000
tfi,9.040000
teh,9.050000
tav,9.050000
tft,9.080000
tgk,9.100000
tcr,9.130000
tcn,9.130000
tfr,9.180000
tbq,9.200000
tal,9.200000
tfe,9.210000
tat,9.210000
tas,9.220000
tfq,9.230000
tet,9.250000
tdb,9.250000
tfh,9.260000
tbl,9.260000
syj,9.280000
sxv,9.280000
thi,9.310000
tap,9.330000
the,9.360000
syd,9.390000
sxw,9.420000
teb,9.440000
taf,9.450000
syk,9.490000
tel,9.500000
svu,9.010000
sol,9.010000
spu,9.030000
snh,9.030000
ssx,9.040000
srv,9.040000
spf,9.040000
svc,9.050000
swl,9.110000
sup,9.120000
sos,9.220000
smx,9.220000
sna,9.230000
sqg,9.240000
swz,9.280000
sug,9.310000
sws,9.320000
srl,9.330000
smt,9.330000
snl,9.360000
ssw,9.380000
sqv,9.390000
sqe,9.390000
ssy,9.450000
swd,9.470000
sxf,9.480000
sux,9.480000
srd,9.490000
sny,9.490000
sgv,9.030000
scg,9.040000
sly,9.050000
scn,9.060000
slc,9.090000
skr,9.090000
sfe,9.090000
sds,9.110000
slq,9.140000
slb,9.160000
sml,9.180000
see,9.240000
scp,9.250000
sjo,9.260000
smn,9.280000
slt,9.280000
ske,9.280000
ski,9.300000
shh,9.310000
sgf,9.320000
sfr,9.320000
sms,9.330000
sme,9.350000
skw,9.350000
sdq,9.350000
skp,9.360000
sgl,9.390000
sfn,9.400000
sjd,9.440000
sij,9.490000
rtq,9.040000
rxl,9.050000
rya,9.060000
rwc,9.110000
rrl,9.130000
rrq,9.140000
rqc,9.140000
saw,9.170000
rxi,9.200000
rsf,9.200000
saq,9.210000
rsw,9.220000
rqi,9.230000
rye,9.240000
rxe,9.240000
rwh,9.240000
rti,9.250000
ryr,9.290000
rrz,9.290000
rvz,9.300000
rwd,9.370000
sag,9.380000
saa,9.400000
sal,9.420000
rvw,9.430000
rst,9.430000
rsg,9.460000
rut,9.470000
sbt,9.480000
ryl,9.480000
rwa,9.480000
rsq,9.490000
rpr,9.010000
rnl,9.010000
rck,9.020000
ros,9.030000
rcf,9.030000
rox,9.040000
rep,9.050000
rdb,9.060000
ris,9.070000
rho,9.080000
rfr,9.080000
rmg,9.090000
rim,9.090000
rps,9.130000
rpi,9.140000
rlx,9.150000
rhd,9.170000
rgw,9.180000
rmv,9.220000
ree,9.230000
rec,9.230000
rkm,9.310000
rpn,9.340000
rne,9.410000
rgl,9.420000
rmo,9.430000
rbk,9.430000
rcc,9.440000
rdo,9.460000
rmm,9.470000
rhm,9.470000
qqa,9.010000
qyt,9.030000
qxi,9.050000
qwf,9.060000
rag,9.100000
qxm,9.120000
qrt,9.180000
qwc,9.190000
qyq,9.210000
raj,9.230000
qwr,9.250000
qvi,9.270000
rap,9.280000
qyr,9.280000
qzr,9.300000
qwo,9.300000
qvf,9.300000
quk,9.300000
qts,9.310000
qwz,9.320000
qoo,9.380000
qrg,9.400000
qud,9.410000
qxh,9.420000
qxa,9.460000
qqc,9.460000
qxu,9.480000
qxt,9.490000
qjx,9.030000
qii,9.030000
qhr,9.040000
qck,9.050000
qdk,9.080000
qib,9.090000
qdm,9.120000
qmt,9.170000
qnw,9.210000
qjm,9.210000
qmz,9.230000
qed,9.240000
qcd,9.240000
qlq,9.250000
qix,9.250000
qcz,9.250000
qny,9.260000
qnx,9.290000
qjg,9.320000
qfi,9.340000
qek,9.340000
qbr,9.340000
qmf,9.370000
qfd,9.370000
qdp,9.380000
qgv,9.400000
qcl,9.420000
qdu,9.430000
qjr,9.450000
qli,9.470000
qdl,9.470000
ptb,9.030000
pse,9.030000
pnz,9.030000
pom,9.070000
pnw,9.140000
qal,9.160000
pkk,9.200000
pzo,9.220000
plw,9.220000
ptf,9.230000
puc,9.250000
psy,9.270000
pjy,9.270000
plz,9.280000
pte,9.290000
pxx,9.300000
psq,9.330000
qbo,9.370000
pxr,9.370000
poy,9.370000
pup,9.380000
pla,9.380000
ptv,9.420000
pxk,9.460000
pqk,9.460000
pvr,9.470000
qag,9.500000
pyn,9.500000
plm,9.500000
pde,9.010000
pgr,9.020000
pcc,9.020000
pem,9.030000
pcn,9.050000
pcl,9.050000
paa,9.050000
ozj,9.070000
pbs,9.080000
pdl,9.140000
pgu,9.150000
pdw,9.170000
oxs,9.170000
pgp,9.200000
pht,9.220000
ozi,9.240000
ozk,9.260000
pgg,9.270000
oyj,9.280000
oyg,9.280000
pgi,9.340000
pff,9.340000
pdo,9.360000
pjv,9.370000
pfb,9.380000
pij,9.400000
pip,9.410000
pbw,9.410000
pbr,9.420000
pbi,9.460000
oly,9.020000
ork,9.030000
oqk,9.030000
oox,9.030000
oon,9.030000
oxc,9.040000
oxh,9.080000
omh,9.080000
opb,9.100000
oua,9.130000
otr,9.130000
owd,9.140000
omk,9.150000
oti,9.170000
onk,9.220000
opq,9.250000
omy,9.270000
otd,9.280000
ouy,9.290000
oog,9.290000
oop,9.300000
orj,9.330000
owy,9.380000
otv,9.390000
oqd,9.390000
oup,9.470000
oxe,9.490000
ooj,9.490000
onq,9.490000
opu,9.500000
okm,9.030000
ohz,9.060000
obc,9.060000
oct,9.100000
obh,9.120000
ofr,9.130000
oam,9.130000
ofs,9.180000
ohi,9.190000
ofp,9.230000
oci,9.240000
och,9.240000
oae,9.250000
odm,9.270000
olt,9.300000
oju,9.300000
obn,9.300000
ofa,9.330000
oid,9.350000
oeb,9.350000
ocn,9.350000
odq,9.360000
ofx,9.380000
oaz,9.400000
ocj,9.430000
ois,9.460000
ojg,9.470000
ofd,9.480000
odt,9.490000
ocl,9.500000
oab,9.500000
nzu,9.040000
nti,9.070000
nxf,9.080000
nsi,9.080000
nra,9.120000
nte,9.170000
nrf,9.170000
nqv,9.200000
nsq,9.240000
nww,9.260000
nuw,9.290000
nqc,9.300000
nsf,9.310000
nwr,9.320000
ntv,9.320000
nqt,9.320000
nsg,9.350000
nsz,9.360000
nwa,9.370000
nub,9.390000
nyo,9.400000
nwm,9.400000
nyb,9.410000
nwx,9.410000
nqb,9.450000
nrz,9.470000
nqs,9.480000
nqa,9.480000
nys,9.500000
niu,9.010000
ney,9.020000
njv,9.060000
nnc,9.080000
nnx,9.090000
nhh,9.110000
njn,9.160000
nim,9.160000
nie,9.160000
nfi,9.170000
niy,9.190000
noa,9.200000
noe,9.210000
njl,9.240000
nkx,9.260000
nmm,9.290000
nfb,9.310000
njj,9.320000
nmd,9.340000
nfy,9.340000
nlo,9.390000
nfa,9.390000
nez,9.390000
npt,9.420000
nkd,9.420000
nif,9.450000
nhj,9.450000
nmp,9.490000
ngk,9.490000
nfl,9.500000
mwa,9.050000
mtt,9.080000
msp,9.110000
mud,9.130000
ndo,9.180000
muv,9.190000
mum,9.190000
nef,9.240000
mzx,9.240000
mvl,9.240000
ncy,9.270000
nad,9.270000
nea,9.310000
ncm,9.320000
nao,9.330000
nbr,9.340000
mxf,9.340000
ndd,9.350000
nbp,9.370000
ncg,9.390000
mtv,9.390000
myy,9.400000
ndf,9.420000
myh,9.420000
mxv,9.420000
nar,9.430000
mze,9.430000
msa,9.460000
ncp,9.490000
nej,9.500000
mwj,9.500000
mlq,9.020000
mrj,9.030000
mqd,9.030000
mnu,9.030000
mni,9.040000
mil,9.050000
mnh,9.060000
mit,9.060000
mqw,9.090000
mpt,9.100000
mou,9.100000
mix,9.140000
mnn,9.190000
mmi,9.190000
mrr,9.200000
mmg,9.210000
mkr,9.240000
mml,9.260000
moq,9.300000
mnb,9.360000
mma,9.380000
mkw,9.390000
mln,9.410000
mnw,9.420000
mll,9.430000
mmc,9.440000
mjb,9.440000
mnp,9.460000
mpa,9.500000
maw,9.010000
maa,9.020000
mew,9.040000
mdn,9.060000
mfk,9.080000
mdz,9.080000
mch,9.090000
lxx,9.110000
lzz,9.140000
mgt,9.160000
mgi,9.160000
man,9.170000
mhu,9.220000
mea,9.230000
lzd,9.230000
mha,9.280000
mib,9.290000
mfh,9.300000
lxs,9.300000
mhw,9.310000
mfp,9.320000
lvu,9.320000
mfq,9.330000
mdo,9.340000
mfm,9.360000
mgu,9.410000
lvc,9.450000
mhx,9.460000
mff,9.500000
mep,9.500000
luz,9.020000
lpw,9.030000
ltb,9.070000
lse,9.070000
lqq,9.090000
lov,9.100000
lnx,9.120000
lup,9.140000
loy,9.140000
lol,9.140000
ljz,9.150000
lna,9.160000
ljf,9.160000
lrs,9.180000
lte,9.210000
lmo,9.210000
lto,9.220000
luu,9.230000
luh,9.280000
ljx,9.290000
lkq,9.320000
lva,9.330000
lth,9.350000
lsn,9.390000
lmn,9.390000
llw,9.390000
lme,9.400000
los,9.420000
luy,9.470000
loi,9.490000
lue,9.500000
kzk,9.030000
lcw,9.040000
lbn,9.040000
lcf,9.050000
lgy,9.060000
lfa,9.080000
kyy,9.080000
kyv,9.080000
lhs,9.090000
kzn,9.130000
lip,9.220000
lap,9.220000
lix,9.230000
ldg,9.250000
lbm,9.250000
lah,9.330000
kzu,9.330000
lal,9.350000
kzd,9.360000
lih,9.370000
lfn,9.430000
lek,9.430000
kzi,9.430000
lft,9.450000
lja,9.470000
lhk,9.470000
ldt,9.470000
lag,9.470000
kzj,9.470000
lfx,9.500000
kye,9.010000
kpl,9.020000
kon,9.020000
ktn,9.030000
krq,9.060000
knv,9.060000
kwv,9.070000
kyo,9.080000
ksv,9.080000
kqq,9.080000
kyu,9.130000
kxo,9.140000
kwu,9.150000
kvc,9.240000
kpv,9.250000
ktj,9.270000
ksx,9.270000
kno,9.290000
kyf,9.300000
kwc,9.300000
kti,9.320000
kyb,9.350000
ksw,9.380000
krx,9.390000
kyc,9.400000
kwy,9.400000
kqo,9.400000
kwi,9.420000
kow,9.430000
krc,9.480000
knm,9.490000
kqt,9.500000
kmh,9.060000
kil,9.100000
kij,9.100000
kcq,9.120000
jzj,9.120000
klg,9.150000
kax,9.150000
kag,9.150000
kjm,9.170000
khr,9.190000
kao,9.190000
klm,9.200000
kcn,9.200000
kki,9.220000
khn,9.220000
klj,9.290000
jzw,9.290000
kgz,9.310000
kix,9.330000
klh,9.340000
kng,9.350000
klf,9.380000
kgk,9.380000
kch,9.400000
kam,9.410000
khu,9.420000
ket,9.430000
kgo,9.440000
klb,9.450000
jzp,9.470000
kjs,9.490000
jtf,9.010000
jui,9.040000
jyf,9.120000
jwy,9.130000
jzi,9.140000
jsx,9.160000
jxs,9.180000
jwn,9.200000
jtc,9.200000
jsj,9.200000
jwv,9.230000
jvh,9.230000
jqh,9.230000
jue,9.240000
jnv,9.240000
jte,9.250000
jpj,9.250000
jqt,9.270000
jzh,9.280000
jro,9.300000
jzg,9.330000
jxh,9.360000
jnp,9.360000
jtl,9.370000
jzb,9.380000
jul,9.420000
jxe,9.470000
jox,9.470000
jtt,9.490000
jow,9.500000
jfk,9.030000
jkz,9.070000
jkb,9.070000
jhb,9.080000
jgp,9.080000
jmy,9.100000
jck,9.100000
jef,9.110000
jcm,9.110000
jhc,9.170000
jct,9.210000
jkr,9.230000
jdn,9.230000
jcj,9.230000
jcq,9.260000
jfc,9.270000
jnm,9.280000
jhr,9.280000
jii,9.300000
jiw,9.310000
jdy,9.350000
jke,9.370000
jbz,9.390000
jie,9.410000
jgr,9.410000
jne,9.420000
jez,9.420000
jft,9.430000
jnb,9.440000
jjw,9.460000
jmf,9.480000
izi,9.030000
iza,9.040000
jaa,9.050000
iyw,9.070000
iyi,9.070000
isr,9.080000
jbr,9.090000
izd,9.100000
jaz,9.110000
iwv,9.130000
iye,9.140000
iws,9.160000
ivg,9.170000
jap,9.200000
irp,9.220000
ivy,9.240000
jak,9.280000
jba,9.290000
izr,9.330000
izm,9.340000
ivi,9.350000
jat,9.370000
izu,9.390000
ixi,9.430000
isu,9.440000
ixt,9.460000
iyu,9.490000
ist,9.490000
irr,9.490000
ixd,9.500000
ile,9.020000
inz,9.030000
imf,9.030000
ikw,9.030000
ihx,9.030000
ikk,9.040000
ijb,9.050000
ima,9.080000
iri,9.120000
iow,9.130000
ios,9.160000
ilv,9.160000
irl,9.170000
iqh,9.210000
ihz,9.220000
iks,9.230000
inv,9.260000
iji,9.270000
iqm,9.290000
ijx,9.310000
iqc,9.340000
ilu,9.350000
iqx,9.380000
ijz,9.410000
iie,9.430000
imh,9.450000
ijc,9.460000
iib,9.470000
ikq,9.480000
ijr,9.480000
iqd,9.500000
ibc,9.020000
iaw,9.020000
hzs,9.020000
ihp,9.030000
icy,9.040000
iac,9.050000
ihu,9.060000
iee,9.060000
hzk,9.060000
igm,9.120000
hse,9.120000
icj,9.160000
ifn,9.170000
hzh,9.180000
hxr,9.180000
hvf,9.180000
htq,9.210000
hss,9.230000
htk,9.250000
hzv,9.310000
htv,9.310000
igu,9.330000
iei,9.340000
hzd,9.420000
hwl,9.440000
htb,9.440000
ide,9.450000
hrz,9.450000
hvq,9.460000
hsb,9.470000
ieh,9.480000
hpp,9.020000
hpi,9.040000
hnr,9.040000
hnp,9.070000
hlu,9.070000
hjw,9.080000
hjp,9.100000
hjm,9.130000
hrj,9.170000
hrn,9.180000
hpm,9.210000
hqe,9.220000
hjq,9.220000
hnv,9.230000
hnl,9.240000
hna,9.240000
hrf,9.250000
hpj,9.280000
hnt,9.290000
hmp,9.310000
hnz,9.340000
hrv,9.360000
hni,9.390000
hku,9.430000
hrc,9.470000
hoy,9.490000
hnd,9.490000
hlx,9.490000
hhd,9.010000
fyj,9.010000
hfy,9.030000
hen,9.030000
hjb,9.080000
hfb,9.100000
hch,9.100000
hig,9.140000
hgv,9.140000
hjj,9.160000
hje,9.180000
hit,9.200000
hfl,9.210000
heg,9.210000
hgi,9.230000
hbj,9.230000
hiv,9.250000
hgn,9.250000
hco,9.250000
hja,9.260000
hdw,9.270000
hjf,9.280000
hgm,9.300000
hjh,9.360000
hdk,9.360000
hdf,9.380000
hhw,9.410000
hho,9.410000
hfc,9.440000
hif,9.450000
hhh,9.460000
hga,9.460000
fxj,9.010000
fcf,9.010000
esv,9.010000
gxd,9.030000
goz,9.030000
gtu,9.040000
gpx,9.040000
hae,9.070000
gve,9.100000
gzj,9.150000
gqm,9.200000
gzv,9.210000
gvz,9.240000
gov,9.240000
hal,9.250000
gvv,9.260000
gvj,9.260000
gyx,9.280000
gvb,9.320000
gpl,9.330000
hao,9.340000
gye,9.340000
gxn,9.380000
gxk,9.410000
haa,9.420000
has,9.440000
gxx,9.440000
hab,9.450000
gxu,9.450000
gte,9.470000
gru,9.490000
grd,9.500000
epx,9.010000
enx,9.010000
ato,9.010000
gjl,9.020000
gjg,9.020000
gdg,9.020000
gou,9.030000
gnk,9.050000
gmm,9.050000
gmv,9.060000
gdr,9.080000
gbr,9.130000
giq,9.140000
gdh,9.210000
gck,9.210000
gah,9.230000
gbq,9.240000
gci,9.270000
gkr,9.290000
fyy,9.290000
ghl,9.300000
ggn,9.310000
get,9.310000
gkq,9.340000
gdc,9.340000
fyz,9.360000
fze,9.370000
gec,9.400000
gjt,9.420000
gae,9.440000
gky,9.460000
gaq,9.470000
fub,9.020000
fqp,9.020000
fiv,9.020000
fhk,9.020000
fdo,9.020000
dxz,9.020000
cft,9.020000
fwx,9.040000
ftb,9.060000
fvz,9.070000
fqb,9.070000
fxn,9.080000
fyf,9.090000
fpu,9.110000
fot,9.110000
fva,9.120000
fum,9.120000
fxm,9.150000
fww,9.160000
fxb,9.170000
fpg,9.170000
fuz,9.180000
fom,9.190000
fny,9.190000
for,9.200000
fts,9.210000
fqw,9.230000
fxw,9.320000
fvr,9.340000
ftj,9.390000
fpv,9.400000
fun,9.450000
bxw,9.020000
awe,9.020000
asy,9.020000
ahh,9.020000
fnk,9.030000
esw,9.030000
elv,9.030000
fgv,9.040000
fnd,9.060000
fdh,9.070000
fih,9.100000
fel,9.100000
fcv,9.110000
ffn,9.130000
fln,9.140000
fhc,9.170000
fgn,9.170000
fhz,9.180000
fmq,9.190000
fdy,9.190000
fct,9.200000
ffc,9.230000
fdw,9.280000
fhe,9.300000
fly,9.310000
ffq,9.320000
fmc,9.350000
fde,9.390000
ffl,9.440000
fme,9.450000
fmt,9.470000
fim,9.470000
dzs,9.030000
cqg,9.030000
cok,9.030000
cdo,9.030000
eqz,9.060000
eyt,9.080000
eyq,9.090000
esc,9.100000
eui,9.160000
ezm,9.190000
eqr,9.200000
exd,9.220000
exs,9.230000
ewk,9.230000
ewf,9.250000
evk,9.250000
epy,9.250000
fas,9.280000
fag,9.300000
eoz,9.310000
euc,9.320000
eyu,9.350000
esj,9.350000
far,9.430000
euy,9.440000
ezn,9.460000
euj,9.460000
eqf,9.460000
ezj,9.480000
ewu,9.490000
evf,9.500000
ert,9.500000
caa,9.030000
bdp,9.030000
auq,9.030000
elx,9.060000
ebj,9.060000
elq,9.070000
ebt,9.070000
ekc,9.080000
elm,9.110000
eji,9.140000
efa,9.160000
egv,9.180000
egn,9.200000
efb,9.200000
eop,9.220000
efq,9.260000
eiy,9.310000
enp,9.330000
edt,9.370000
ecl,9.380000
eoy,9.390000
ecq,9.400000
ecu,9.420000
eaw,9.430000
eid,9.440000
end,9.460000
egq,9.470000
ene,9.480000
emj,9.480000
efr,9.480000
eeh,9.480000
eom,9.500000
apy,9.030000
app,9.030000
aoa,9.030000
dyz,9.040000
dyo,9.070000
dql,9.080000
dzt,9.090000
dte,9.090000
dsj,9.110000
dui,9.120000
dzx,9.130000
dzw,9.130000
dyj,9.150000
dsm,9.160000
dzg,9.180000
ean,9.220000
duh,9.230000
dtb,9.240000
dvx,9.250000
dym,9.270000
dsn,9.270000
drh,9.270000
dwr,9.290000
dua,9.290000
dpz,9.290000
dvy,9.360000
drq,9.370000
dqs,9.380000
dwd,9.450000
duu,9.450000
duc,9.490000
dus,9.500000
cou,9.040000
auz,9.050000
arp,9.050000
bwl,9.060000
dcn,9.070000
dek,9.080000
diq,9.090000
djv,9.120000
dge,9.120000
dov,9.140000
dmq,9.140000
dml,9.140000
dlk,9.170000
dec,9.170000
dfu,9.180000
dpp,9.190000
ddk,9.220000
dog,9.230000
doa,9.230000
dna,9.230000
dgu,9.260000
dpe,9.270000
djs,9.310000
dmv,9.380000
dhm,9.390000
dhy,9.400000
dnz,9.440000
dkw,9.440000
dfr,9.450000
dik,9.470000
dfo,9.470000
dhv,9.480000
axe,9.060000
art,9.060000
ahp,9.060000
cse,9.080000
dck,9.130000
cwy,9.180000
dbp,9.190000
cwt,9.200000
cns,9.200000
dan,9.230000
czu,9.280000
ctd,9.290000
cpr,9.290000
crb,9.300000
dbm,9.310000
cwf,9.320000
crl,9.320000
cog,9.320000
cxp,9.330000
cwh,9.340000
cnx,9.340000
dbt,9.370000
coq,9.370000
czx,9.410000
cqe,9.420000
crj,9.440000
cpb,9.450000
dcj,9.470000
cuv,9.490000
daq,9.500000
csr,9.500000
cqu,9.500000
bix,9.070000
bhr,9.070000
acs,9.070000
clt,9.080000
cbu,9.080000
cih,9.140000
cfc,9.150000
clr,9.180000
cld,9.210000
ckq,9.210000
cjx,9.260000
ceu,9.260000
chu,9.270000
cnp,9.290000
cfy,9.300000
cnc,9.310000
cmg,9.330000
cjm,9.330000
ckb,9.360000
cea,9.370000
cnb,9.380000
cfg,9.390000
cgw,9.400000
cgp,9.400000
cmc,9.410000
cfh,9.420000
cjv,9.440000
cef,9.450000
cjp,9.460000
cje,9.480000
cfx,9.490000
clx,9.500000
bxs,9.080000
buy,9.080000
bsp,9.080000
aah,9.080000
bwz,9.090000
bpd,9.090000
bfv,9.100000
bzu,9.110000
bzh,9.210000
bwr,9.210000
cam,9.230000
bzq,9.260000
bvg,9.270000
cbt,9.280000
bxn,9.310000
bwv,9.320000
byj,9.330000
ccs,9.350000
bxh,9.350000
bxg,9.350000
byq,9.360000
bvt,9.370000
ccq,9.390000
bwq,9.400000
cdb,9.410000
bxe,9.410000
caj,9.420000
byk,9.430000
bxx,9.460000
ccc,9.470000
cak,9.470000
